ExtensionID,ExtensionURL,ExtensionName
ihhkmalpkhkoedlmcnilbbhhbhnicjga,https://chrome.google.com/webstore/detail/ihhkmalpkhkoedlmcnilbbhhbhnicjga,Bardeen: Automate Browser Apps with AI
ablbagjepecncofimgjmdpnhnfjiecfm,https://chrome.google.com/webstore/detail/ablbagjepecncofimgjmdpnhnfjiecfm,"Blocknative Gas Fee Estimator for Ethereum, Base, Arbitrum, and More"
igfbafcgnaemgipnngnppdhilhpmmnoh,https://chrome.google.com/webstore/detail/igfbafcgnaemgipnngnppdhilhpmmnoh,Keysmith
fakegmdomhmegokfomgmkbopjibonfcp,https://chrome.google.com/webstore/detail/fakegmdomhmegokfomgmkbopjibonfcp,Metastream Remote
oocalimimngaihdkbihfgmpkcpnmlaoa,https://chrome.google.com/webstore/detail/oocalimimngaihdkbihfgmpkcpnmlaoa,Netflix Party is now Teleparty
acaonckckmmakfgjfkgbfeepdhmajkeg,https://chrome.google.com/webstore/detail/acaonckckmmakfgjfkgbfeepdhmajkeg,TraitSniper
fdpohaocaechififmbbbbbknoalclacl,https://chrome.google.com/webstore/detail/fdpohaocaechififmbbbbbknoalclacl,GoFullPage - Full Page Screen Capture
mcbpblocgmgfnpjjppndjkmgjaogfceg,https://chrome.google.com/webstore/detail/mcbpblocgmgfnpjjppndjkmgjaogfceg,Take Webpage Screenshots Entirely - FireShot
glgomjpomoahpeekneidkinhcfjnnhmb,https://chrome.google.com/webstore/detail/glgomjpomoahpeekneidkinhcfjnnhmb,Full Page Screenshot
pmnphobdokkajkpbkajlaiooipfcpgio,https://chrome.google.com/webstore/detail/pmnphobdokkajkpbkajlaiooipfcpgio,
akgpcdalpfphjmfifkmfbpdmgdmeeaeo,https://chrome.google.com/webstore/detail/akgpcdalpfphjmfifkmfbpdmgdmeeaeo,Webpage Screenshot - Entire page screenshot!
giabbpobpebjfegnpcclkocepcgockkc,https://chrome.google.com/webstore/detail/giabbpobpebjfegnpcclkocepcgockkc,Screenshot Capture
pmabjgjpcbofkbbeiphkiaanogobokgg,https://chrome.google.com/webstore/detail/pmabjgjpcbofkbbeiphkiaanogobokgg,Full Page Screen Capture
ghihpjhpgdepnohngpgfcmcijmkggpaf,https://chrome.google.com/webstore/detail/ghihpjhpgdepnohngpgfcmcijmkggpaf,Screen Capture
aegnopegbbhjeeiganiajffnalhlkkjb,https://chrome.google.com/webstore/detail/aegnopegbbhjeeiganiajffnalhlkkjb,
mdjildafknihdffpkfmmpnpoiajfjnjd,https://chrome.google.com/webstore/detail/mdjildafknihdffpkfmmpnpoiajfjnjd,Consent-O-Matic
cjdnfmjmdligcpfcekfmenlhiopehjkd,https://chrome.google.com/webstore/detail/cjdnfmjmdligcpfcekfmenlhiopehjkd,TwoSeven Extension
idgpnmonknjnojddfkpgkljpfnnfcklj,https://chrome.google.com/webstore/detail/idgpnmonknjnojddfkpgkljpfnnfcklj,ModHeader - Modify HTTP headers
nlipoenfbbikpbjkfpfillcgkoblgpmj,https://chrome.google.com/webstore/detail/nlipoenfbbikpbjkfpfillcgkoblgpmj,Awesome Screen Recorder & Screenshot
nkihdmlheodkdfojglpcjjmioefjahjb,https://chrome.google.com/webstore/detail/nkihdmlheodkdfojglpcjjmioefjahjb,BrowserStack
adlpodnneegcnbophopdmhedicjbcgco,https://chrome.google.com/webstore/detail/adlpodnneegcnbophopdmhedicjbcgco,Free VPN for Chrome - Troywell VPN
embopepfkojckgmldidcjbefilokcgmg,https://chrome.google.com/webstore/detail/embopepfkojckgmldidcjbefilokcgmg,
llojfncgbabajmdglnkbhmiebiinohek,https://chrome.google.com/webstore/detail/llojfncgbabajmdglnkbhmiebiinohek,ChatGPT
dcbcnpnaccfjoikaofjgcipcfbmfkpmj,https://chrome.google.com/webstore/detail/dcbcnpnaccfjoikaofjgcipcfbmfkpmj,ChatGPT Extension
fnmihdojmnkclgjpcoonokmkhjpjechg,https://chrome.google.com/webstore/detail/fnmihdojmnkclgjpcoonokmkhjpjechg,Chat GPT for Chrome with Claude Sonnet & DeepSeek R1
dojgcdlfcjhopeenhamnnjijimnammbf,https://chrome.google.com/webstore/detail/dojgcdlfcjhopeenhamnnjijimnammbf,
hlmabemhgianglocdnedeilaapijchai,https://chrome.google.com/webstore/detail/hlmabemhgianglocdnedeilaapijchai,
bnddhkgajejhaijnllailngnbcopmcoe,https://chrome.google.com/webstore/detail/bnddhkgajejhaijnllailngnbcopmcoe,
kjeipegpggpbciapoallgaieajcefolp,https://chrome.google.com/webstore/detail/kjeipegpggpbciapoallgaieajcefolp,
odpmikmjaiapjammnphnfacangakndmk,https://chrome.google.com/webstore/detail/odpmikmjaiapjammnphnfacangakndmk,
pdmiahhmekaaadpkmdndbnighgglnjnm,https://chrome.google.com/webstore/detail/pdmiahhmekaaadpkmdndbnighgglnjnm,
mkccjanioockmpiipbihphdpfnnbblfa,https://chrome.google.com/webstore/detail/mkccjanioockmpiipbihphdpfnnbblfa,
fapealihbilmknhobnpnpncdhbepkgnh,https://chrome.google.com/webstore/detail/fapealihbilmknhobnpnpncdhbepkgnh,
